Voltage,Current
V,A
0.3231,-1.71E-06
0.3221,-1.91E-06
0.3211,-2.01E-06
0.3201,-2.19E-06
0.3191,-2.29E-06
0.3181,-2.39E-06
0.3171,-2.46E-06
0.3161,-2.61E-06
0.3151,-2.74E-06
0.3141,-2.90E-06
0.3131,-3.06E-06
0.3121,-3.23E-06
0.3111,-3.28E-06
0.3101,-3.41E-06
0.3092,-3.49E-06
0.3081,-3.64E-06
0.3071,-3.79E-06
0.3061,-3.92E-06
0.3051,-4.00E-06
0.3041,-4.08E-06
0.3031,-4.22E-06
0.3021,-4.31E-06
0.3011,-4.39E-06
0.3001,-4.55E-06
0.2991,-4.58E-06
0.2981,-4.69E-06
0.2971,-4.76E-06
0.2961,-4.90E-06
0.2951,-5.00E-06
0.2941,-5.12E-06
0.2931,-5.20E-06
0.2921,-5.28E-06
0.2911,-5.33E-06
0.2901,-5.46E-06
0.2891,-5.52E-06
0.2881,-5.64E-06
0.2871,-5.74E-06
0.2861,-5.84E-06
0.2851,-5.95E-06
0.2841,-6.03E-06
0.2831,-6.10E-06
0.2821,-6.20E-06
0.2811,-6.27E-06
0.2801,-6.41E-06
0.2791,-6.46E-06
0.2781,-6.56E-06
0.2771,-6.64E-06
0.2761,-6.75E-06
0.2751,-6.83E-06
0.2741,-6.90E-06
0.2731,-6.96E-06
0.2721,-7.07E-06
0.2711,-7.11E-06
0.2701,-7.22E-06
0.2691,-7.26E-06
0.2681,-7.36E-06
0.2671,-7.44E-06
0.2661,-7.54E-06
0.2651,-7.58E-06
0.2641,-7.67E-06
0.2631,-7.72E-06
0.2621,-7.77E-06
0.2611,-7.85E-06
0.2601,-7.97E-06
0.2591,-8.04E-06
0.2581,-8.15E-06
0.2571,-8.21E-06
0.2561,-8.30E-06
0.2551,-8.38E-06
0.2541,-8.46E-06
0.2531,-8.50E-06
0.2521,-8.59E-06
0.2511,-8.66E-06
0.2501,-8.73E-06
0.2491,-8.85E-06
0.2481,-8.91E-06
0.2471,-9.03E-06
0.2461,-9.15E-06
0.2451,-9.21E-06
0.2441,-9.34E-06
0.2431,-9.41E-06
0.2421,-9.46E-06
0.2411,-9.50E-06
0.2401,-9.60E-06
0.2391,-9.66E-06
0.2381,-9.77E-06
0.2371,-9.81E-06
0.2361,-9.89E-06
0.2351,-9.95E-06
0.2341,-1.00E-05
0.2331,-1.01E-05
0.2321,-1.02E-05
0.2311,-1.02E-05
0.2301,-1.04E-05
0.2291,-1.05E-05
0.2281,-1.06E-05
0.2271,-1.06E-05
0.2261,-1.07E-05
0.2251,-1.08E-05
0.2241,-1.09E-05
0.2231,-1.10E-05
0.2221,-1.10E-05
0.2211,-1.11E-05
0.2201,-1.12E-05
0.2191,-1.12E-05
0.2181,-1.13E-05
0.2171,-1.13E-05
0.2161,-1.15E-05
0.2151,-1.15E-05
0.2141,-1.16E-05
0.2131,-1.17E-05
0.2121,-1.18E-05
0.2111,-1.18E-05
0.2101,-1.19E-05
0.2091,-1.20E-05
0.2081,-1.21E-05
0.2071,-1.22E-05
0.2061,-1.23E-05
0.2051,-1.23E-05
0.2041,-1.24E-05
0.2031,-1.25E-05
0.2021,-1.25E-05
0.2011,-1.26E-05
0.2001,-1.27E-05
0.1991,-1.28E-05
0.1981,-1.28E-05
0.1971,-1.29E-05
0.1961,-1.29E-05
0.1951,-1.30E-05
0.1941,-1.31E-05
0.1931,-1.32E-05
0.1921,-1.33E-05
0.1911,-1.34E-05
0.1901,-1.35E-05
0.1891,-1.35E-05
0.1881,-1.36E-05
0.1871,-1.36E-05
0.1861,-1.37E-05
0.1851,-1.38E-05
0.1841,-1.39E-05
0.1831,-1.39E-05
0.1821,-1.40E-05
0.1811,-1.40E-05
0.1801,-1.41E-05
0.1791,-1.42E-05
0.1781,-1.42E-05
0.1771,-1.43E-05
0.1761,-1.44E-05
0.1751,-1.44E-05
0.1741,-1.45E-05
0.1731,-1.46E-05
0.1721,-1.47E-05
0.1711,-1.48E-05
0.1701,-1.48E-05
0.1691,-1.48E-05
0.1681,-1.49E-05
0.1671,-1.50E-05
0.1661,-1.50E-05
0.1651,-1.51E-05
0.1641,-1.52E-05
0.1631,-1.52E-05
0.1621,-1.53E-05
0.1611,-1.54E-05
0.1601,-1.55E-05
0.1591,-1.55E-05
0.1581,-1.55E-05
0.1571,-1.56E-05
0.1561,-1.56E-05
0.1551,-1.56E-05
0.1541,-1.57E-05
0.1531,-1.57E-05
0.1521,-1.58E-05
0.1511,-1.58E-05
0.1501,-1.59E-05
0.1491,-1.59E-05
0.1481,-1.60E-05
0.1471,-1.60E-05
0.1461,-1.61E-05
0.1451,-1.61E-05
0.1441,-1.62E-05
0.1431,-1.62E-05
0.1421,-1.63E-05
0.1411,-1.63E-05
0.1401,-1.63E-05
0.1391,-1.64E-05
0.1381,-1.64E-05
0.1371,-1.64E-05
0.1361,-1.65E-05
0.1351,-1.65E-05
0.1341,-1.66E-05
0.1331,-1.67E-05
0.1321,-1.67E-05
0.1311,-1.67E-05
0.1301,-1.68E-05
0.1291,-1.68E-05
0.1281,-1.69E-05
0.1271,-1.69E-05
0.1261,-1.70E-05
0.1251,-1.70E-05
0.1241,-1.71E-05
0.1231,-1.71E-05
0.1221,-1.72E-05
0.1211,-1.72E-05
0.1201,-1.73E-05
0.1191,-1.74E-05
0.1181,-1.75E-05
0.1171,-1.75E-05
0.1161,-1.76E-05
0.1151,-1.76E-05
0.1141,-1.77E-05
0.1131,-1.78E-05
0.1121,-1.79E-05
0.1111,-1.79E-05
0.1101,-1.80E-05
0.1091,-1.81E-05
0.1081,-1.82E-05
0.1071,-1.83E-05
0.1061,-1.84E-05
0.1051,-1.85E-05
0.1041,-1.87E-05
0.1031,-1.88E-05
0.1021,-1.89E-05
0.1011,-1.90E-05
0.1001,-1.91E-05
0.09906,-1.92E-05
0.09805,-1.94E-05
0.09707,-1.95E-05
0.09606,-1.96E-05
0.09507,-1.98E-05
0.09407,-2.00E-05
0.09307,-2.01E-05
0.09208,-2.03E-05
0.09107,-2.04E-05
0.09006,-2.06E-05
0.08906,-2.08E-05
0.08806,-2.10E-05
0.08707,-2.13E-05
0.08606,-2.15E-05
0.08507,-2.17E-05
0.08408,-2.19E-05
0.08307,-2.22E-05
0.08207,-2.24E-05
0.08106,-2.27E-05
0.08006,-2.30E-05
0.07907,-2.32E-05
0.07809,-2.35E-05
0.07705,-2.38E-05
0.07606,-2.41E-05
0.07505,-2.45E-05
0.07405,-2.48E-05
0.07306,-2.51E-05
0.07206,-2.55E-05
0.07107,-2.59E-05
0.07006,-2.64E-05
0.06906,-2.68E-05
0.06807,-2.73E-05
0.06707,-2.77E-05
0.06607,-2.82E-05
0.06508,-2.87E-05
0.06405,-2.92E-05
0.06306,-2.98E-05
0.06205,-3.04E-05
0.06105,-3.09E-05
0.06006,-3.16E-05
0.05906,-3.22E-05
0.05806,-3.29E-05
0.05706,-3.36E-05
0.05607,-3.43E-05
0.05507,-3.50E-05
0.05408,-3.58E-05
0.05307,-3.67E-05
0.05207,-3.75E-05
0.05106,-3.84E-05
0.05004,-3.94E-05
0.04905,-4.03E-05
0.04805,-4.13E-05
0.04705,-4.24E-05
0.04606,-4.35E-05
0.04504,-4.46E-05
0.04406,-4.58E-05
0.04305,-4.70E-05
0.04205,-4.82E-05
0.04105,-4.95E-05
0.04005,-5.08E-05
0.03907,-5.22E-05
0.03805,-5.37E-05
0.03705,-5.51E-05
0.03607,-5.67E-05
0.03506,-5.83E-05
0.03407,-6.00E-05
0.03307,-6.17E-05
0.03207,-6.35E-05
0.03107,-6.54E-05
0.03007,-6.73E-05
0.02908,-6.93E-05
0.02807,-7.14E-05
0.02707,-7.35E-05
0.02607,-7.58E-05
0.02504,-7.82E-05
0.02404,-8.07E-05
0.02305,-8.33E-05
0.02204,-8.60E-05
0.02105,-8.88E-05
0.02006,-9.17E-05
0.01905,-9.47E-05
0.01805,-9.80E-05
0.01706,-1.01E-04
0.01606,-1.05E-04
0.01506,-1.08E-04
0.01408,-1.12E-04
0.01304,-1.16E-04
0.01206,-1.20E-04
0.01106,-1.24E-04
0.01005,-1.29E-04
0.00906,-1.34E-04
0.00805,-1.38E-04
0.00706,-1.43E-04
0.00606,-1.48E-04
0.00506,-1.53E-04
0.00406,-1.58E-04
0.00306,-1.64E-04
0.00207,-1.69E-04
0.00108,-1.75E-04
5.20E-05,-1.80E-04
-9.50E-04,-1.86E-04
-0.00196,-1.91E-04
-0.00297,-1.97E-04
-0.00395,-2.03E-04
-0.00495,-2.08E-04
-0.00595,-2.14E-04
-0.00695,-2.19E-04
-0.00795,-2.25E-04
-0.00894,-2.30E-04
-0.00995,-2.36E-04
-0.01094,-2.42E-04
-0.01195,-2.47E-04
-0.01297,-2.53E-04
-0.01397,-2.59E-04
-0.01496,-2.64E-04
-0.01596,-2.70E-04
-0.01695,-2.75E-04
-0.01795,-2.81E-04
-0.01896,-2.87E-04
-0.01995,-2.92E-04
